Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
5142;Ueckermünde;FK_TER;19.09.2020-19:00;21.09.2020-05:00;4;;eor;                                                                                                                                       
5142;Ueckermünde;FK_TER;28.10.2021-07:00;28.10.2021-23:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;FK_TER;05.11.2021-13:00;06.11.2021-05:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;FK_TER;06.11.2021-07:00;07.11.2021-05:00;3;;eor;                                                                                                                                       
5142;Ueckermünde;FK_TER;07.11.2021-07:00;07.11.2021-23:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;FK_TER;08.11.2021-01:00;08.11.2021-17:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;FK_TER;19.11.2021-01:00;22.11.2021-05:00;10;;eor;                                                                                                                                      
5142;Ueckermünde;FK_TER;01.07.2022-13:00;04.07.2022-11:00;9;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;08.12.1938-15:00;09.12.1938-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;09.12.1938-15:00;10.12.1938-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;10.12.1938-15:00;11.12.1938-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;27.09.1939-22:00;28.09.1939-13:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;28.09.1939-22:00;29.09.1939-13:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;29.09.1939-22:00;30.09.1939-13:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;11.12.1939-15:00;12.12.1939-06:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;07.06.1941-15:00;08.06.1941-06:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;08.06.1941-15:00;09.06.1941-06:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;09.06.1941-15:00;10.06.1941-06:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;16.03.1942-08:00;16.03.1942-20:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;17.03.1942-08:00;17.03.1942-20:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;18.03.1942-08:00;18.03.1942-20:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;06.04.1942-15:00;07.04.1942-06:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;07.04.1942-15:00;08.04.1942-06:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;08.04.1942-15:00;09.04.1942-06:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;09.04.1942-15:00;10.04.1942-06:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;09.06.1942-08:00;09.06.1942-20:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;10.06.1942-08:00;10.06.1942-20:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;11.06.1942-08:00;11.06.1942-20:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;17.06.1942-22:00;18.06.1942-13:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;18.06.1942-22:00;19.06.1942-13:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;19.06.1942-22:00;20.06.1942-13:00;1;Kriegsjahre;eor;                                                                                                                            
5142;Ueckermünde;DK_TER;30.11.1944-22:00;01.01.1951-06:00;6666;;eor;                                                                                                                                    
5142;Ueckermünde;DK_TER;27.02.1991-07:00;28.02.1991-23:00;5;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;07.11.1991-15:00;08.11.1991-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;08.11.1991-15:00;09.11.1991-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;09.11.1991-15:00;10.11.1991-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;12.11.1991-15:00;13.11.1991-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;13.11.1991-15:00;14.11.1991-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;23.11.1991-15:00;24.11.1991-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;10.12.1991-15:00;11.12.1991-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;20.12.1991-15:00;21.12.1991-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;22.12.1991-15:00;23.12.1991-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;25.12.1991-08:00;25.12.1991-20:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;26.12.1991-15:00;27.12.1991-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;27.12.1991-15:00;28.12.1991-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;06.01.1992-15:00;07.01.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;06.02.1992-15:00;07.02.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;11.02.1992-08:00;11.02.1992-20:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;04.03.1992-15:00;05.03.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;01.05.1992-15:00;02.05.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;02.05.1992-15:00;03.05.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;08.06.1992-08:00;08.06.1992-20:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;25.06.1992-22:00;26.06.1992-13:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;27.06.1992-15:00;28.06.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;07.07.1992-08:00;07.07.1992-20:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;27.07.1992-15:00;28.07.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;01.08.1992-15:00;02.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;02.08.1992-15:00;03.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;03.08.1992-15:00;04.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;04.08.1992-15:00;05.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;05.08.1992-15:00;06.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;06.08.1992-15:00;07.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;07.08.1992-15:00;08.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;09.08.1992-15:00;10.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;10.08.1992-08:00;11.08.1992-06:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;11.08.1992-08:00;12.08.1992-06:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;12.08.1992-08:00;13.08.1992-06:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;13.08.1992-08:00;14.08.1992-06:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;14.08.1992-08:00;17.08.1992-06:00;8;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;17.08.1992-15:00;18.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;18.08.1992-15:00;19.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;19.08.1992-15:00;20.08.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;24.08.1992-08:00;24.08.1992-20:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;30.08.1992-22:00;31.08.1992-13:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;08.09.1992-08:00;08.09.1992-20:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;02.10.1992-15:00;03.10.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;03.10.1992-15:00;04.10.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;04.10.1992-15:00;05.10.1992-06:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;15.10.1992-08:00;15.10.1992-20:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;15.10.1992-22:00;16.10.1992-13:00;1;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;02.05.2005-19:00;03.05.2005-11:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;08.11.2005-07:00;09.11.2005-17:00;5;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;29.12.2005-07:00;03.01.2006-17:00;17;;eor;                                                                                                                                      
5142;Ueckermünde;DK_TER;25.04.2006-07:00;26.04.2006-17:00;5;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;25.08.2006-13:00;29.08.2006-11:00;12;;eor;                                                                                                                                      
5142;Ueckermünde;DK_TER;21.12.2007-19:00;24.12.2007-05:00;8;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;11.01.2016-19:00;13.01.2016-11:00;4;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;30.06.2018-19:00;02.07.2018-17:00;5;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;19.09.2020-19:00;21.09.2020-05:00;4;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;28.10.2021-07:00;28.10.2021-23:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;05.11.2021-13:00;06.11.2021-05:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;06.11.2021-07:00;07.11.2021-05:00;3;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;07.11.2021-07:00;07.11.2021-23:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;08.11.2021-01:00;08.11.2021-17:00;2;;eor;                                                                                                                                       
5142;Ueckermünde;DK_TER;19.11.2021-01:00;22.11.2021-05:00;10;;eor;                                                                                                                                      
5142;Ueckermünde;DK_TER;01.07.2022-13:00;04.07.2022-11:00;9;;eor;                                                                                                                                       
generiert: 09.05.2023 --  Deutscher Wetterdienst  --                                                                                                                                                    
