MESS_DATUM;season;year;month;day;hour;hour_sin;hour_cos;prev_temp;prev_hum;temp;humidity;coverage_class;coverage;coverage_percent;range;wind_dir;wind_str;wind_str_metric;prec
1997070107;2;1997;7;1;7;0.9659258262890683;-0.25881904510252063;14.2;82.0;14.2;82.0;1;3;37.5;7.0;20.0;3.0;4.4;4.4
1997070114;2;1997;7;1;14;-0.4999999999999997;-0.8660254037844388;14.2;82.0;17.2;72.0;3;7;87.5;7.0;12.0;3.0;4.4;4.4
1997070121;2;1997;7;1;21;-0.7071067811865477;0.7071067811865474;17.2;72.0;12.9;89.0;3;7;87.5;6.0;4.0;1.0;0.9;4.4
1997070207;2;1997;7;2;7;0.9659258262890683;-0.25881904510252063;12.9;89.0;14.1;87.0;1;1;12.5;7.0;16.0;3.0;4.4;0.2
1997070214;2;1997;7;2;14;-0.4999999999999997;-0.8660254037844388;14.1;87.0;21.3;57.0;2;5;62.5;8.0;16.0;3.0;4.4;0.2
1997070221;2;1997;7;2;21;-0.7071067811865477;0.7071067811865474;21.3;57.0;16.0;87.0;4;8;100.0;7.0;12.0;4.0;6.7;0.2
1997070307;2;1997;7;3;7;0.9659258262890683;-0.25881904510252063;16.0;87.0;14.2;79.0;1;3;37.5;7.0;20.0;3.0;4.4;0.0
1997070314;2;1997;7;3;14;-0.4999999999999997;-0.8660254037844388;14.2;79.0;20.3;52.0;2;4;50.0;7.0;16.0;3.0;4.4;0.0
1997070321;2;1997;7;3;21;-0.7071067811865477;0.7071067811865474;20.3;52.0;13.9;85.0;1;1;12.5;7.0;32.0;1.0;0.9;0.0
1997070407;2;1997;7;4;7;0.9659258262890683;-0.25881904510252063;13.9;85.0;16.0;81.0;1;3;37.5;7.0;20.0;2.0;2.45;0.1
1997070414;2;1997;7;4;14;-0.4999999999999997;-0.8660254037844388;16.0;81.0;16.4;80.0;3;7;87.5;7.0;24.0;2.0;2.45;0.1
1997070421;2;1997;7;4;21;-0.7071067811865477;0.7071067811865474;16.4;80.0;14.4;88.0;2;6;75.0;7.0;4.0;2.0;2.45;0.1
1997070507;2;1997;7;5;7;0.9659258262890683;-0.25881904510252063;14.4;88.0;15.6;83.0;1;3;37.5;6.0;32.0;3.0;4.4;0.0
1997070514;2;1997;7;5;14;-0.4999999999999997;-0.8660254037844388;15.6;83.0;18.4;64.0;2;5;62.5;8.0;32.0;3.0;4.4;0.0
1997070521;2;1997;7;5;21;-0.7071067811865477;0.7071067811865474;18.4;64.0;13.7;85.0;2;5;62.5;6.0;32.0;2.0;2.45;0.0
1997070607;2;1997;7;6;7;0.9659258262890683;-0.25881904510252063;13.7;85.0;15.3;68.0;1;2;25.0;8.0;28.0;3.0;4.4;0.0
1997070614;2;1997;7;6;14;-0.4999999999999997;-0.8660254037844388;15.3;68.0;16.1;75.0;4;8;100.0;7.0;28.0;4.0;6.7;0.0
1997070621;2;1997;7;6;21;-0.7071067811865477;0.7071067811865474;16.1;75.0;15.3;89.0;4;8;100.0;7.0;28.0;2.0;2.45;0.0
1997070707;2;1997;7;7;7;0.9659258262890683;-0.25881904510252063;15.3;89.0;15.8;86.0;3;7;87.5;7.0;28.0;3.0;4.4;0.0
1997070714;2;1997;7;7;14;-0.4999999999999997;-0.8660254037844388;15.8;86.0;19.0;79.0;2;6;75.0;8.0;28.0;4.0;6.7;0.0
1997070721;2;1997;7;7;21;-0.7071067811865477;0.7071067811865474;19.0;79.0;15.1;89.0;3;7;87.5;7.0;28.0;2.0;2.45;0.0
1997070807;2;1997;7;8;7;0.9659258262890683;-0.25881904510252063;15.1;89.0;15.0;86.0;3;7;87.5;7.0;28.0;3.0;4.4;0.0
1997070814;2;1997;7;8;14;-0.4999999999999997;-0.8660254037844388;15.0;86.0;16.7;82.0;3;7;87.5;8.0;28.0;3.0;4.4;0.0
1997070821;2;1997;7;8;21;-0.7071067811865477;0.7071067811865474;16.7;82.0;14.4;91.0;4;8;100.0;7.0;32.0;2.0;2.45;0.0
1997070907;2;1997;7;9;7;0.9659258262890683;-0.25881904510252063;14.4;91.0;15.1;87.0;4;8;100.0;8.0;28.0;2.0;2.45;0.0
1997070914;2;1997;7;9;14;-0.4999999999999997;-0.8660254037844388;15.1;87.0;18.0;66.0;2;5;62.5;8.0;32.0;3.0;4.4;0.0
1997070921;2;1997;7;9;21;-0.7071067811865477;0.7071067811865474;18.0;66.0;14.1;90.0;1;2;25.0;8.0;28.0;2.0;2.45;0.0
1997071007;2;1997;7;10;7;0.9659258262890683;-0.25881904510252063;14.1;90.0;17.5;89.0;1;1;12.5;7.0;4.0;2.0;2.45;0.0
1997071014;2;1997;7;10;14;-0.4999999999999997;-0.8660254037844388;17.5;89.0;23.4;50.0;1;2;25.0;8.0;4.0;3.0;4.4;0.0
1997071021;2;1997;7;10;21;-0.7071067811865477;0.7071067811865474;23.4;50.0;14.8;81.0;1;1;12.5;8.0;32.0;2.0;2.45;0.0
1997071107;2;1997;7;11;7;0.9659258262890683;-0.25881904510252063;14.8;81.0;18.9;71.0;1;1;12.5;8.0;8.0;1.0;0.9;0.0
1997071114;2;1997;7;11;14;-0.4999999999999997;-0.8660254037844388;18.9;71.0;24.6;42.0;1;3;37.5;9.0;32.0;3.0;4.4;0.0
1997071121;2;1997;7;11;21;-0.7071067811865477;0.7071067811865474;24.6;42.0;16.8;85.0;1;3;37.5;8.0;4.0;2.0;2.45;0.0
1997071207;2;1997;7;12;7;0.9659258262890683;-0.25881904510252063;16.8;85.0;19.0;73.0;1;1;12.5;8.0;8.0;2.0;2.45;0.0
1997071214;2;1997;7;12;14;-0.4999999999999997;-0.8660254037844388;19.0;73.0;26.0;44.0;1;2;25.0;8.0;8.0;3.0;4.4;0.0
1997071221;2;1997;7;12;21;-0.7071067811865477;0.7071067811865474;26.0;44.0;16.3;84.0;1;3;37.5;8.0;4.0;1.0;0.9;0.0
1997071307;2;1997;7;13;7;0.9659258262890683;-0.25881904510252063;16.3;84.0;18.6;83.0;0;0;0.0;7.0;12.0;1.0;0.9;0.6
1997071314;2;1997;7;13;14;-0.4999999999999997;-0.8660254037844388;18.6;83.0;26.2;43.0;2;6;75.0;8.0;20.0;3.0;4.4;0.6
1997071321;2;1997;7;13;21;-0.7071067811865477;0.7071067811865474;26.2;43.0;18.7;85.0;3;7;87.5;8.0;8.0;1.0;0.9;0.6
1997071407;2;1997;7;14;7;0.9659258262890683;-0.25881904510252063;18.7;85.0;18.4;86.0;3;7;87.5;7.0;12.0;2.0;2.45;0.0
1997071414;2;1997;7;14;14;-0.4999999999999997;-0.8660254037844388;18.4;86.0;24.7;54.0;2;5;62.5;7.0;20.0;3.0;4.4;0.0
1997071421;2;1997;7;14;21;-0.7071067811865477;0.7071067811865474;24.7;54.0;18.5;82.0;2;5;62.5;7.0;28.0;2.0;2.45;0.0
1997071507;2;1997;7;15;7;0.9659258262890683;-0.25881904510252063;18.5;82.0;17.8;90.0;1;3;37.5;5.0;24.0;2.0;2.45;1.1
1997071514;2;1997;7;15;14;-0.4999999999999997;-0.8660254037844388;17.8;90.0;21.4;55.0;1;1;12.5;8.0;24.0;3.0;4.4;1.1
1997071521;2;1997;7;15;21;-0.7071067811865477;0.7071067811865474;21.4;55.0;14.6;85.0;1;2;25.0;8.0;32.0;2.0;2.45;1.1
1997071607;2;1997;7;16;7;0.9659258262890683;-0.25881904510252063;14.6;85.0;15.7;94.0;4;8;100.0;6.0;12.0;2.0;2.45;10.4
1997071614;2;1997;7;16;14;-0.4999999999999997;-0.8660254037844388;15.7;94.0;20.0;78.0;3;7;87.5;6.0;16.0;3.0;4.4;10.4
1997071621;2;1997;7;16;21;-0.7071067811865477;0.7071067811865474;20.0;78.0;15.7;94.0;4;8;100.0;6.0;24.0;1.0;0.9;10.4
1997071707;2;1997;7;17;7;0.9659258262890683;-0.25881904510252063;15.7;94.0;16.8;91.0;4;8;100.0;6.0;20.0;2.0;2.45;15.1
1997071714;2;1997;7;17;14;-0.4999999999999997;-0.8660254037844388;16.8;91.0;17.3;86.0;3;7;87.5;7.0;28.0;3.0;4.4;15.1
1997071721;2;1997;7;17;21;-0.7071067811865477;0.7071067811865474;17.3;86.0;15.9;91.0;3;7;87.5;7.0;28.0;2.0;2.45;15.1
1997071807;2;1997;7;18;7;0.9659258262890683;-0.25881904510252063;15.9;91.0;16.9;90.0;2;6;75.0;7.0;32.0;2.0;2.45;1.4
1997071814;2;1997;7;18;14;-0.4999999999999997;-0.8660254037844388;16.9;90.0;17.8;86.0;3;7;87.5;7.0;4.0;4.0;6.7;1.4
1997071821;2;1997;7;18;21;-0.7071067811865477;0.7071067811865474;17.8;86.0;16.6;91.0;1;2;25.0;7.0;32.0;3.0;4.4;1.4
1997071907;2;1997;7;19;7;0.9659258262890683;-0.25881904510252063;16.6;91.0;18.4;84.0;1;1;12.5;7.0;32.0;4.0;6.7;3.1
1997071914;2;1997;7;19;14;-0.4999999999999997;-0.8660254037844388;18.4;84.0;18.9;67.0;2;6;75.0;8.0;4.0;4.0;6.7;3.1
1997071921;2;1997;7;19;21;-0.7071067811865477;0.7071067811865474;18.9;67.0;14.5;81.0;3;7;87.5;8.0;32.0;3.0;4.4;3.1
1997072007;2;1997;7;20;7;0.9659258262890683;-0.25881904510252063;14.5;81.0;18.5;81.0;3;7;87.5;8.0;32.0;3.0;4.4;0.0
1997072014;2;1997;7;20;14;-0.4999999999999997;-0.8660254037844388;18.5;81.0;22.5;42.0;2;6;75.0;8.0;32.0;4.0;6.7;0.0
1997072021;2;1997;7;20;21;-0.7071067811865477;0.7071067811865474;22.5;42.0;18.0;78.0;4;8;100.0;7.0;32.0;3.0;4.4;0.0
1997072107;2;1997;7;21;7;0.9659258262890683;-0.25881904510252063;18.0;78.0;18.4;86.0;4;8;100.0;8.0;32.0;3.0;4.4;1.2
1997072114;2;1997;7;21;14;-0.4999999999999997;-0.8660254037844388;18.4;86.0;18.2;88.0;4;8;100.0;6.0;32.0;4.0;6.7;1.2
1997072121;2;1997;7;21;21;-0.7071067811865477;0.7071067811865474;18.2;88.0;17.9;94.0;4;8;100.0;7.0;32.0;2.0;2.45;1.2
1997072207;2;1997;7;22;7;0.9659258262890683;-0.25881904510252063;17.9;94.0;17.6;90.0;3;7;87.5;7.0;8.0;2.0;2.45;7.3
1997072214;2;1997;7;22;14;-0.4999999999999997;-0.8660254037844388;17.6;90.0;25.2;65.0;2;5;62.5;8.0;12.0;3.0;4.4;7.3
1997072221;2;1997;7;22;21;-0.7071067811865477;0.7071067811865474;25.2;65.0;19.3;82.0;2;4;50.0;6.0;32.0;1.0;0.9;7.3
1997072307;2;1997;7;23;7;0.9659258262890683;-0.25881904510252063;19.3;82.0;18.1;95.0;4;8;100.0;5.0;24.0;2.0;2.45;0.0
1997072314;2;1997;7;23;14;-0.4999999999999997;-0.8660254037844388;18.1;95.0;20.8;75.0;2;5;62.5;7.0;24.0;3.0;4.4;0.0
1997072321;2;1997;7;23;21;-0.7071067811865477;0.7071067811865474;20.8;75.0;16.1;93.0;2;4;50.0;5.0;32.0;1.0;0.9;0.0
1997072407;2;1997;7;24;7;0.9659258262890683;-0.25881904510252063;16.1;93.0;18.0;85.0;1;3;37.5;5.0;16.0;3.0;4.4;0.3
1997072414;2;1997;7;24;14;-0.4999999999999997;-0.8660254037844388;18.0;85.0;22.5;58.0;4;8;100.0;7.0;16.0;3.0;4.4;0.3
1997072421;2;1997;7;24;21;-0.7071067811865477;0.7071067811865474;22.5;58.0;17.4;86.0;3;7;87.5;7.0;12.0;2.0;2.45;0.3
1997072507;2;1997;7;25;7;0.9659258262890683;-0.25881904510252063;17.4;86.0;17.4;87.0;3;7;87.5;6.0;16.0;2.0;2.45;22.1
1997072514;2;1997;7;25;14;-0.4999999999999997;-0.8660254037844388;17.4;87.0;16.9;87.0;4;8;100.0;6.0;20.0;3.0;4.4;22.1
1997072521;2;1997;7;25;21;-0.7071067811865477;0.7071067811865474;16.9;87.0;16.7;94.0;2;6;75.0;6.0;24.0;3.0;4.4;22.1
1997072607;2;1997;7;26;7;0.9659258262890683;-0.25881904510252063;16.7;94.0;17.2;90.0;4;8;100.0;6.0;28.0;4.0;6.7;5.1
1997072614;2;1997;7;26;14;-0.4999999999999997;-0.8660254037844388;17.2;90.0;19.9;70.0;1;3;37.5;8.0;28.0;4.0;6.7;5.1
1997072621;2;1997;7;26;21;-0.7071067811865477;0.7071067811865474;19.9;70.0;17.0;90.0;3;7;87.5;8.0;16.0;2.0;2.45;5.1
1997072707;2;1997;7;27;7;0.9659258262890683;-0.25881904510252063;17.0;90.0;18.4;89.0;3;7;87.5;6.0;20.0;4.0;6.7;3.2
1997072714;2;1997;7;27;14;-0.4999999999999997;-0.8660254037844388;18.4;89.0;18.2;81.0;3;7;87.5;7.0;24.0;5.0;9.35;3.2
1997072721;2;1997;7;27;21;-0.7071067811865477;0.7071067811865474;18.2;81.0;16.0;79.0;2;4;50.0;8.0;28.0;4.0;6.7;3.2
1997072807;2;1997;7;28;7;0.9659258262890683;-0.25881904510252063;16.0;79.0;15.9;88.0;2;4;50.0;6.0;20.0;2.0;2.45;0.1
1997072814;2;1997;7;28;14;-0.4999999999999997;-0.8660254037844388;15.9;88.0;20.7;60.0;3;7;87.5;8.0;28.0;4.0;6.7;0.1
1997072821;2;1997;7;28;21;-0.7071067811865477;0.7071067811865474;20.7;60.0;16.1;87.0;3;7;87.5;8.0;24.0;2.0;2.45;0.1
1997072907;2;1997;7;29;7;0.9659258262890683;-0.25881904510252063;16.1;87.0;16.9;88.0;2;5;62.5;7.0;24.0;3.0;4.4;0.0
1997072914;2;1997;7;29;14;-0.4999999999999997;-0.8660254037844388;16.9;88.0;22.3;55.0;2;4;50.0;8.0;24.0;3.0;4.4;0.0
1997072921;2;1997;7;29;21;-0.7071067811865477;0.7071067811865474;22.3;55.0;15.4;90.0;1;3;37.5;7.0;8.0;1.0;0.9;0.0
1997073007;2;1997;7;30;7;0.9659258262890683;-0.25881904510252063;15.4;90.0;17.8;82.0;2;5;62.5;6.0;16.0;3.0;4.4;2.7
1997073014;2;1997;7;30;14;-0.4999999999999997;-0.8660254037844388;17.8;82.0;23.6;57.0;4;8;100.0;7.0;20.0;2.0;2.45;2.7
1997073021;2;1997;7;30;21;-0.7071067811865477;0.7071067811865474;23.6;57.0;15.7;93.0;1;2;25.0;7.0;24.0;2.0;2.45;2.7
1997073107;2;1997;7;31;7;0.9659258262890683;-0.25881904510252063;15.7;93.0;14.5;93.0;3;7;87.5;7.0;20.0;3.0;4.4;11.8
1997073114;2;1997;7;31;14;-0.4999999999999997;-0.8660254037844388;14.5;93.0;15.3;87.0;3;7;87.5;8.0;24.0;3.0;4.4;11.8
1997073121;2;1997;7;31;21;-0.7071067811865477;0.7071067811865474;15.3;87.0;14.3;94.0;3;7;87.5;6.0;20.0;3.0;4.4;11.8
1997080107;2;1997;8;1;7;0.9659258262890683;-0.25881904510252063;14.3;94.0;15.7;92.0;3;7;87.5;7.0;24.0;2.0;2.45;0.2
1997080114;2;1997;8;1;14;-0.4999999999999997;-0.8660254037844388;15.7;92.0;19.9;62.0;2;5;62.5;8.0;28.0;3.0;4.4;0.2
1997080121;2;1997;8;1;21;-0.7071067811865477;0.7071067811865474;19.9;62.0;16.0;90.0;3;7;87.5;8.0;12.0;1.0;0.9;0.2
1997080207;2;1997;8;2;7;0.9659258262890683;-0.25881904510252063;16.0;90.0;16.6;96.0;4;8;100.0;5.0;16.0;2.0;2.45;0.8
1997080214;2;1997;8;2;14;-0.4999999999999997;-0.8660254037844388;16.6;96.0;19.7;80.0;3;7;87.5;7.0;28.0;3.0;4.4;0.8
1997080221;2;1997;8;2;21;-0.7071067811865477;0.7071067811865474;19.7;80.0;16.1;91.0;3;7;87.5;8.0;32.0;2.0;2.45;0.8
1997080307;2;1997;8;3;7;0.9659258262890683;-0.25881904510252063;16.1;91.0;17.6;83.0;3;7;87.5;8.0;32.0;3.0;4.4;0.0
1997080314;2;1997;8;3;14;-0.4999999999999997;-0.8660254037844388;17.6;83.0;18.9;72.0;3;7;87.5;8.0;4.0;4.0;6.7;0.0
1997080321;2;1997;8;3;21;-0.7071067811865477;0.7071067811865474;18.9;72.0;15.3;86.0;3;7;87.5;8.0;32.0;2.0;2.45;0.0
1997080407;2;1997;8;4;7;0.9659258262890683;-0.25881904510252063;15.3;86.0;17.0;84.0;1;1;12.5;8.0;32.0;3.0;4.4;0.0
1997080414;2;1997;8;4;14;-0.4999999999999997;-0.8660254037844388;17.0;84.0;20.6;63.0;1;3;37.5;8.0;32.0;4.0;6.7;0.0
1997080421;2;1997;8;4;21;-0.7071067811865477;0.7071067811865474;20.6;63.0;13.1;88.0;1;3;37.5;8.0;28.0;1.0;0.9;0.0
1997080507;2;1997;8;5;7;0.9659258262890683;-0.25881904510252063;13.1;88.0;16.8;79.0;1;2;25.0;8.0;32.0;1.0;0.9;0.0
1997080514;2;1997;8;5;14;-0.4999999999999997;-0.8660254037844388;16.8;79.0;23.5;57.0;1;3;37.5;8.0;8.0;3.0;4.4;0.0
1997080521;2;1997;8;5;21;-0.7071067811865477;0.7071067811865474;23.5;57.0;17.3;91.0;1;1;12.5;8.0;4.0;3.0;4.4;0.0
1997080607;2;1997;8;6;7;0.9659258262890683;-0.25881904510252063;17.3;91.0;18.9;91.0;0;0;0.0;8.0;4.0;3.0;4.4;0.0
1997080614;2;1997;8;6;14;-0.4999999999999997;-0.8660254037844388;18.9;91.0;23.9;61.0;1;3;37.5;8.0;8.0;4.0;6.7;0.0
1997080621;2;1997;8;6;21;-0.7071067811865477;0.7071067811865474;23.9;61.0;18.4;85.0;0;0;0.0;8.0;4.0;2.0;2.45;0.0
1997080707;2;1997;8;7;7;0.9659258262890683;-0.25881904510252063;18.4;85.0;18.4;86.0;0;0;0.0;7.0;8.0;3.0;4.4;0.0
1997080714;2;1997;8;7;14;-0.4999999999999997;-0.8660254037844388;18.4;86.0;25.7;53.0;1;1;12.5;8.0;8.0;4.0;6.7;0.0
1997080721;2;1997;8;7;21;-0.7071067811865477;0.7071067811865474;25.7;53.0;18.5;86.0;0;0;0.0;8.0;4.0;2.0;2.45;0.0
1997080807;2;1997;8;8;7;0.9659258262890683;-0.25881904510252063;18.5;86.0;18.6;84.0;0;0;0.0;7.0;8.0;3.0;4.4;0.0
1997080814;2;1997;8;8;14;-0.4999999999999997;-0.8660254037844388;18.6;84.0;25.6;55.0;1;2;25.0;8.0;12.0;3.0;4.4;0.0
1997080821;2;1997;8;8;21;-0.7071067811865477;0.7071067811865474;25.6;55.0;18.7;86.0;0;0;0.0;8.0;4.0;2.0;2.45;0.0
1997080907;2;1997;8;9;7;0.9659258262890683;-0.25881904510252063;18.7;86.0;19.0;87.0;0;0;0.0;6.0;12.0;2.0;2.45;0.0
1997080914;2;1997;8;9;14;-0.4999999999999997;-0.8660254037844388;19.0;87.0;28.7;46.0;1;2;25.0;8.0;8.0;3.0;4.4;0.0
1997080921;2;1997;8;9;21;-0.7071067811865477;0.7071067811865474;28.7;46.0;19.7;82.0;3;7;87.5;8.0;8.0;2.0;2.45;0.0
1997081007;2;1997;8;10;7;0.9659258262890683;-0.25881904510252063;19.7;82.0;19.9;82.0;1;1;12.5;7.0;12.0;2.0;2.45;0.0
1997081014;2;1997;8;10;14;-0.4999999999999997;-0.8660254037844388;19.9;82.0;29.3;42.0;1;2;25.0;8.0;12.0;3.0;4.4;0.0
1997081021;2;1997;8;10;21;-0.7071067811865477;0.7071067811865474;29.3;42.0;18.5;83.0;1;1;12.5;8.0;8.0;3.0;4.4;0.0
1997081107;2;1997;8;11;7;0.9659258262890683;-0.25881904510252063;18.5;83.0;20.4;67.0;1;1;12.5;8.0;8.0;4.0;6.7;0.0
1997081114;2;1997;8;11;14;-0.4999999999999997;-0.8660254037844388;20.4;67.0;29.6;36.0;0;0;0.0;8.0;12.0;5.0;9.35;0.0
1997081121;2;1997;8;11;21;-0.7071067811865477;0.7071067811865474;29.6;36.0;19.4;78.0;0;0;0.0;8.0;8.0;3.0;4.4;0.0
1997081207;2;1997;8;12;7;0.9659258262890683;-0.25881904510252063;19.4;78.0;20.2;74.0;1;1;12.5;8.0;12.0;3.0;4.4;0.0
1997081214;2;1997;8;12;14;-0.4999999999999997;-0.8660254037844388;20.2;74.0;29.5;39.0;1;2;25.0;8.0;12.0;3.0;4.4;0.0
1997081221;2;1997;8;12;21;-0.7071067811865477;0.7071067811865474;29.5;39.0;19.1;77.0;3;7;87.5;8.0;4.0;3.0;4.4;0.0
1997081307;2;1997;8;13;7;0.9659258262890683;-0.25881904510252063;19.1;77.0;19.2;79.0;1;1;12.5;7.0;8.0;2.0;2.45;0.0
1997081314;2;1997;8;13;14;-0.4999999999999997;-0.8660254037844388;19.2;79.0;31.0;33.0;1;2;25.0;8.0;16.0;2.0;2.45;0.0
1997081321;2;1997;8;13;21;-0.7071067811865477;0.7071067811865474;31.0;33.0;22.3;68.0;1;3;37.5;8.0;32.0;1.0;0.9;0.0
1997081407;2;1997;8;14;7;0.9659258262890683;-0.25881904510252063;22.3;68.0;19.9;88.0;1;1;12.5;6.0;20.0;3.0;4.4;0.0
1997081414;2;1997;8;14;14;-0.4999999999999997;-0.8660254037844388;19.9;88.0;24.5;70.0;1;2;25.0;7.0;24.0;4.0;6.7;0.0
1997081421;2;1997;8;14;21;-0.7071067811865477;0.7071067811865474;24.5;70.0;20.2;83.0;4;8;100.0;6.0;24.0;3.0;4.4;0.0
1997081507;2;1997;8;15;7;0.9659258262890683;-0.25881904510252063;20.2;83.0;20.2;83.0;3;7;87.5;6.0;28.0;3.0;4.4;0.0
1997081514;2;1997;8;15;14;-0.4999999999999997;-0.8660254037844388;20.2;83.0;22.0;71.0;3;7;87.5;6.0;28.0;3.0;4.4;0.0
1997081521;2;1997;8;15;21;-0.7071067811865477;0.7071067811865474;22.0;71.0;17.1;92.0;1;3;37.5;6.0;32.0;1.0;0.9;0.0
1997081607;2;1997;8;16;7;0.9659258262890683;-0.25881904510252063;17.1;92.0;16.4;99.0;3;7;87.5;4.0;12.0;1.0;0.9;0.0
1997081614;2;1997;8;16;14;-0.4999999999999997;-0.8660254037844388;16.4;99.0;24.2;55.0;2;5;62.5;7.0;28.0;1.0;0.9;0.0
1997081621;2;1997;8;16;21;-0.7071067811865477;0.7071067811865474;24.2;55.0;18.0;93.0;1;2;25.0;7.0;4.0;2.0;2.45;0.0
1997081707;2;1997;8;17;7;0.9659258262890683;-0.25881904510252063;18.0;93.0;18.0;94.0;1;3;37.5;6.0;8.0;2.0;2.45;0.0
1997081714;2;1997;8;17;14;-0.4999999999999997;-0.8660254037844388;18.0;94.0;27.0;53.0;2;5;62.5;7.0;12.0;3.0;4.4;0.0
1997081721;2;1997;8;17;21;-0.7071067811865477;0.7071067811865474;27.0;53.0;19.3;85.0;1;3;37.5;7.0;8.0;2.0;2.45;0.0
1997081807;2;1997;8;18;7;0.9659258262890683;-0.25881904510252063;19.3;85.0;19.2;85.0;0;0;0.0;5.0;16.0;1.0;0.9;0.0
1997081814;2;1997;8;18;14;-0.4999999999999997;-0.8660254037844388;19.2;85.0;28.5;41.0;1;2;25.0;8.0;8.0;2.0;2.45;0.0
1997081821;2;1997;8;18;21;-0.7071067811865477;0.7071067811865474;28.5;41.0;18.8;79.0;2;4;50.0;6.0;4.0;1.0;0.9;0.0
1997081907;2;1997;8;19;7;0.9659258262890683;-0.25881904510252063;18.8;79.0;15.8;85.0;1;2;25.0;6.0;4.0;1.0;0.9;0.1
1997081914;2;1997;8;19;14;-0.4999999999999997;-0.8660254037844388;15.8;85.0;20.0;67.0;3;7;87.5;7.0;12.0;3.0;4.4;0.1
1997081921;2;1997;8;19;21;-0.7071067811865477;0.7071067811865474;20.0;67.0;18.6;78.0;3;7;87.5;7.0;32.0;2.0;2.45;0.1
1997082007;2;1997;8;20;7;0.9659258262890683;-0.25881904510252063;18.6;78.0;19.3;83.0;1;1;12.5;7.0;8.0;2.0;2.45;0.0
1997082014;2;1997;8;20;14;-0.4999999999999997;-0.8660254037844388;19.3;83.0;26.8;48.0;1;2;25.0;8.0;12.0;4.0;6.7;0.0
1997082021;2;1997;8;20;21;-0.7071067811865477;0.7071067811865474;26.8;48.0;18.8;79.0;1;2;25.0;7.0;8.0;2.0;2.45;0.0
1997082107;2;1997;8;21;7;0.9659258262890683;-0.25881904510252063;18.8;79.0;17.5;87.0;0;0;0.0;6.0;8.0;2.0;2.45;0.3
1997082114;2;1997;8;21;14;-0.4999999999999997;-0.8660254037844388;17.5;87.0;27.8;51.0;1;1;12.5;7.0;16.0;2.0;2.45;0.3
1997082121;2;1997;8;21;21;-0.7071067811865477;0.7071067811865474;27.8;51.0;21.1;82.0;1;2;25.0;7.0;16.0;2.0;2.45;0.3
1997082207;2;1997;8;22;7;0.9659258262890683;-0.25881904510252063;21.1;82.0;20.4;81.0;4;8;100.0;5.0;20.0;4.0;6.7;9.2
1997082214;2;1997;8;22;14;-0.4999999999999997;-0.8660254037844388;20.4;81.0;20.0;96.0;4;8;100.0;4.0;20.0;3.0;4.4;9.2
1997082221;2;1997;8;22;21;-0.7071067811865477;0.7071067811865474;20.0;96.0;19.7;96.0;4;8;100.0;6.0;20.0;1.0;0.9;9.2
1997082307;2;1997;8;23;7;0.9659258262890683;-0.25881904510252063;19.7;96.0;19.2;96.0;3;7;87.5;5.0;16.0;2.0;2.45;0.0
1997082314;2;1997;8;23;14;-0.4999999999999997;-0.8660254037844388;19.2;96.0;23.3;71.0;3;7;87.5;7.0;20.0;2.0;2.45;0.0
1997082321;2;1997;8;23;21;-0.7071067811865477;0.7071067811865474;23.3;71.0;21.2;91.0;3;7;87.5;7.0;12.0;2.0;2.45;0.0
1997082407;2;1997;8;24;7;0.9659258262890683;-0.25881904510252063;21.2;91.0;22.2;88.0;4;8;100.0;6.0;20.0;2.0;2.45;4.4
1997082414;2;1997;8;24;14;-0.4999999999999997;-0.8660254037844388;22.2;88.0;28.4;61.0;1;2;25.0;6.0;24.0;3.0;4.4;4.4
1997082421;2;1997;8;24;21;-0.7071067811865477;0.7071067811865474;28.4;61.0;20.1;95.0;1;2;25.0;6.0;8.0;1.0;0.9;4.4
1997082507;2;1997;8;25;7;0.9659258262890683;-0.25881904510252063;20.1;95.0;20.3;93.0;2;5;62.5;6.0;12.0;3.0;4.4;0.2
1997082514;2;1997;8;25;14;-0.4999999999999997;-0.8660254037844388;20.3;93.0;29.5;57.0;1;1;12.5;7.0;12.0;3.0;4.4;0.2
1997082521;2;1997;8;25;21;-0.7071067811865477;0.7071067811865474;29.5;57.0;20.5;93.0;4;8;100.0;7.0;16.0;1.0;0.9;0.2
1997082607;2;1997;8;26;7;0.9659258262890683;-0.25881904510252063;20.5;93.0;20.4;91.0;3;7;87.5;7.0;32.0;3.0;4.4;0.0
1997082614;2;1997;8;26;14;-0.4999999999999997;-0.8660254037844388;20.4;91.0;21.3;68.0;4;8;100.0;8.0;32.0;3.0;4.4;0.0
1997082621;2;1997;8;26;21;-0.7071067811865477;0.7071067811865474;21.3;68.0;18.0;89.0;3;7;87.5;7.0;32.0;2.0;2.45;0.0
1997082707;2;1997;8;27;7;0.9659258262890683;-0.25881904510252063;18.0;89.0;18.7;90.0;2;6;75.0;8.0;16.0;1.0;0.9;8.6
1997082714;2;1997;8;27;14;-0.4999999999999997;-0.8660254037844388;18.7;90.0;23.3;69.0;2;6;75.0;7.0;16.0;3.0;4.4;8.6
1997082721;2;1997;8;27;21;-0.7071067811865477;0.7071067811865474;23.3;69.0;18.3;97.0;4;8;100.0;6.0;8.0;2.0;2.45;8.6
1997082807;2;1997;8;28;7;0.9659258262890683;-0.25881904510252063;18.3;97.0;17.9;97.0;4;8;100.0;5.0;12.0;2.0;2.45;10.3
